group_id,pred_choice,conf,best_time,pred_time,baseline_time,regret_strict,speedup_vs_baseline_strict,regret,speedup_vs_baseline
304,vec_pragma,0.8635105490684509,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
305,vec_pragma,0.8722025752067566,2e-06,2e-06,1.15e-05,1.0,5.75,1.0,5.747626186906547
306,vec_pragma,0.8688605427742004,2.5e-06,2.5e-06,1.2e-05,1.0,4.8,1.0,4.798480607756897
307,vec_pragma,0.8829829096794128,2e-06,2e-06,1.1e-05,1.0,5.5,1.0,5.497751124437781
308,vec_pragma,0.8882649540901184,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
309,vec_pragma,0.7863335013389587,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
310,vec_pragma,0.8058502078056335,2e-06,2e-06,1.15e-05,1.0,5.75,1.0,5.747626186906547
311,vec_pragma,0.8122620582580566,2e-06,2e-06,1.15e-05,1.0,5.75,1.0,5.747626186906547
312,vec_pragma,0.7149620056152344,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
313,vec_pragma,0.7402365803718567,2e-06,2e-06,1.15e-05,1.0,5.75,1.0,5.747626186906547
314,vec_pragma,0.7496333718299866,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
315,vec_pragma,0.7887842059135437,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
316,vec_pragma,0.8069382309913635,2e-06,2e-06,1.15e-05,1.0,5.75,1.0,5.747626186906547
317,vec_pragma,0.8149068355560303,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
318,vec_pragma,0.6686170697212219,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
319,vec_pragma,0.68687504529953,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
320,vec_pragma,0.6941879391670227,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
321,vec_pragma,0.578248143196106,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
322,vec_pragma,0.5998679995536804,2e-06,2e-06,1.6e-05,1.0,8.0,1.0,7.996501749125437
323,vec_pragma,0.608936071395874,2e-06,2e-06,1.2e-05,1.0,6.0,1.0,5.997501249375313
324,vec_pragma,0.7262268662452698,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
325,vec_pragma,0.729284405708313,1.5e-06,2e-06,2e-06,1.3333333333333333,1.0,1.3331112591605596,1.0
326,vec_pragma,0.7308104634284973,1e-06,1e-06,2e-06,1.0,2.0,1.0,1.999000999000999
327,vec_pragma,0.5618317127227783,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
328,vec_pragma,0.5655753016471863,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
329,vec_pragma,0.5674554705619812,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
330,vec_pragma,0.4969592094421386,1.5e-06,1.5e-06,2e-06,1.0,1.3333333333333333,1.0,1.3331112591605596
331,vec_pragma,0.5014166831970215,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
332,vec_pragma,0.5036494135856628,1.5e-06,1.5e-06,2e-06,1.0,1.3333333333333333,1.0,1.3331112591605596
333,vec_pragma,0.5441153049468994,1.5e-06,1.5e-06,2e-06,1.0,1.3333333333333333,1.0,1.3331112591605596
334,vec_pragma,0.548119306564331,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
335,vec_pragma,0.5501426458358765,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
336,vec_pragma,0.3470020294189453,1.5e-06,1.5e-06,2e-06,1.0,1.3333333333333333,1.0,1.3331112591605596
337,vec_pragma,0.3503775894641876,1.5e-06,1.5e-06,2e-06,1.0,1.3333333333333333,1.0,1.3331112591605596
338,vec_pragma,0.3520903289318084,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
339,baseline,0.3138123750686645,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
340,baseline,0.3136425018310547,1.5e-06,2e-06,2e-06,1.3333333333333333,1.0,1.3331112591605596,1.0
341,baseline,0.3134788274765014,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
342,vec_pragma,0.3930209279060364,2e-06,2e-06,2e-06,1.0,1.0,1.0,1.0
343,vec_pragma,0.3978067338466644,1e-06,1e-06,2e-06,1.0,2.0,1.0,1.999000999000999
